Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
1074,1.3,C,21.13491492,92.17793796,,bridge,11074,N1,,437.89756,5820.0,24.0,0.01972062448644207,,
1075,167.0,,21.13457686,92.17854834,0,link,11075,N1,,438.06456,5820.0,24.0,0.01972062448644207,,
1076,3.3,A,21.1342388,92.17915872,,bridge,11076,N1,,438.06786,5820.0,24.0,0.01972062448644207,,
1077,673.0,,21.13306784,92.18192523,0,link,11077,N1,,438.74086,5820.0,24.0,0.01972062448644207,,
1078,4.7,B,21.13189689,92.18469174,,bridge,11078,N1,,438.74556,5820.0,24.0,0.01972062448644207,,
1079,326.0,,21.1309353,92.18575379,0,link,11079,N1,,439.07156,5820.0,24.0,0.01972062448644207,,
1080,1.2,C,21.12997372,92.18681585,,bridge,11080,N1,,439.07276,5820.0,24.0,0.01972062448644207,,
1081,34.0,,21.12987091,92.18693143,0,link,11081,N1,,439.10676,5820.0,24.0,0.01972062448644207,,
1082,7.9,B,21.1297681,92.187047,,bridge,11082,N1,,439.11465999999996,5820.0,24.0,0.01972062448644207,,
1083,126.0,,21.12938709,92.18747531,0,link,11083,N1,,439.24066,5820.0,24.0,0.01972062448644207,,
1084,1.2,A,21.12900608,92.18790361,,bridge,11084,N1,,439.24186,5820.0,24.0,0.01972062448644207,,
1085,113.0,,21.12866438,92.18828773,0,link,11085,N1,,439.35486,5820.0,24.0,0.01972062448644207,,
1086,1.2,A,21.12832269,92.18867184,,bridge,11086,N1,,439.35606,5820.0,24.0,0.01972062448644207,,
1087,77.0,,21.12808985,92.18893358,0,link,11087,N1,,439.43306,5820.0,24.0,0.01972062448644207,,
1088,1.2,B,21.12785701,92.18919533,,bridge,11088,N1,,439.43426,5820.0,24.0,0.01972062448644207,,
1089,391.0,,21.12648035,92.1902814,0,link,11089,N1,,439.82526,5820.0,24.0,0.01972062448644207,,
1090,6.4,A,21.12510369,92.19136747,,bridge,11090,N1,,439.83166,5820.0,24.0,0.01972062448644207,,
1091,182.0,,21.12443209,92.19176318,0,link,11091,N1,,440.01365999999996,5820.0,24.0,0.01972062448644207,,
1092,3.35,A,21.12376049,92.19215889,,bridge,11092,N1,,440.01701,5820.0,24.0,0.01972062448644207,,
1093,114.0,,21.12333565,92.19244062,0,link,11093,N1,,440.13101,5820.0,24.0,0.01972062448644207,,
1094,13.0,C,21.12291081,92.19272235,,bridge,11094,N1,,440.14401000000004,5820.0,24.0,0.01972062448644207,,
1095,51.0,,21.12272276,92.19284145,0,link,11095,N1,,440.19501,5820.0,24.0,0.01972062448644207,,
